uniqueid,bank_account
uniqueid_6056,1
uniqueid_6060,1
uniqueid_6065,1
uniqueid_6072,1
uniqueid_6073,1
uniqueid_6074,1
uniqueid_6075,1
uniqueid_6076,1
uniqueid_6077,1
uniqueid_6078,1
uniqueid_6079,1
uniqueid_6080,1
uniqueid_6081,1
uniqueid_6082,1
uniqueid_6083,1
uniqueid_6084,1
uniqueid_6085,1
uniqueid_6086,1
uniqueid_6087,1
uniqueid_6088,1
uniqueid_6089,1
uniqueid_6090,1
uniqueid_6091,1
uniqueid_6092,1
uniqueid_6093,1
uniqueid_6094,1
uniqueid_6095,1
uniqueid_6096,1
uniqueid_6097,1
uniqueid_6098,1
uniqueid_6099,1
uniqueid_6100,1
uniqueid_6101,1
uniqueid_6102,1
uniqueid_6103,1
uniqueid_6104,1
uniqueid_6105,1
uniqueid_6106,1
uniqueid_6107,1
uniqueid_6108,1
uniqueid_6109,1
uniqueid_6110,1
uniqueid_6111,1
uniqueid_6112,1
uniqueid_6113,1
uniqueid_6114,1
uniqueid_6115,1
uniqueid_6116,1
uniqueid_6117,1
uniqueid_6118,1
uniqueid_6119,1
uniqueid_6120,1
uniqueid_6121,1
uniqueid_6122,1
uniqueid_6123,1
uniqueid_6124,1
uniqueid_6125,1
uniqueid_6126,1
uniqueid_6127,1
uniqueid_6128,1
uniqueid_6129,1
uniqueid_6130,1
uniqueid_6131,1
uniqueid_6132,1
uniqueid_6133,1
uniqueid_6134,1
uniqueid_6135,1
uniqueid_6136,1
uniqueid_6137,1
uniqueid_6138,1
uniqueid_6139,1
uniqueid_6140,1
uniqueid_6141,1
uniqueid_6142,1
uniqueid_6143,1
uniqueid_6144,1
uniqueid_6145,1
uniqueid_6146,1
uniqueid_6147,1
uniqueid_6148,1
uniqueid_6149,1
uniqueid_6150,1
uniqueid_6151,1
uniqueid_6152,1
uniqueid_6153,1
uniqueid_6154,1
uniqueid_6155,1
uniqueid_6156,1
uniqueid_6157,1
uniqueid_6158,1
uniqueid_6159,1
uniqueid_6160,1
uniqueid_6161,1
uniqueid_6162,1
uniqueid_6163,1
uniqueid_6164,1
uniqueid_6165,1
uniqueid_6166,1
uniqueid_6167,1
uniqueid_6168,1
uniqueid_6169,1
uniqueid_6170,1
uniqueid_6171,1
uniqueid_6172,1
uniqueid_6173,1
uniqueid_6174,1
uniqueid_6175,1
uniqueid_6176,1
uniqueid_6177,1
uniqueid_6178,1
uniqueid_6179,1
uniqueid_6180,1
uniqueid_6181,1
uniqueid_6182,1
uniqueid_6183,1
uniqueid_6184,1
uniqueid_6185,1
uniqueid_6186,1
uniqueid_6187,1
uniqueid_6188,1
uniqueid_6189,1
uniqueid_6190,1
uniqueid_6191,1
uniqueid_6192,1
uniqueid_6193,1
uniqueid_6194,1
uniqueid_6195,1
uniqueid_6196,1
uniqueid_6197,1
uniqueid_6198,1
uniqueid_6199,1
uniqueid_6200,1
uniqueid_6201,1
uniqueid_6202,1
uniqueid_6203,1
uniqueid_6204,1
uniqueid_6205,1
uniqueid_6206,1
uniqueid_6207,1
uniqueid_6208,1
uniqueid_6209,1
uniqueid_6210,1
uniqueid_6211,1
uniqueid_6212,1
uniqueid_6213,1
uniqueid_6214,1
uniqueid_6215,1
uniqueid_6216,1
uniqueid_6217,1
uniqueid_6218,1
uniqueid_6219,1
uniqueid_6220,1
uniqueid_6221,1
uniqueid_6222,1
uniqueid_6223,1
uniqueid_6224,1
uniqueid_6225,1
uniqueid_6226,1
uniqueid_6227,1
uniqueid_6228,1
uniqueid_6229,1
uniqueid_6230,1
uniqueid_6231,1
uniqueid_6232,1
uniqueid_6233,1
uniqueid_6234,1
uniqueid_6235,1
